Year	Name	IDrs	At-Bats	AVG	OBP	SLG	Mean Sim OBP	Max Sim OBP	Min Sim OBP	Sim OBP Std. Dev	Mean Change
2017	Odubel Herrera	herro001	563	0.281	0.325	0.452	0.4775790408525755	0.5346358792184724	0.4049733570159858	0.01996499869855676	0.1525790408525755
2017	Josh Harrison	harrj002	542	0.272	0.339	0.432	0.4322638376383764	0.4944649446494465	0.35977859778597787	0.018421779178616315	0.09326383763837637
2017	Dee Strange-Gordon	gordd002	695	0.308	0.341	0.375	0.3269553956834533	0.38848920863309355	0.2820143884892086	0.015912104177389315	-0.01404460431654675
2017	Eddie Rosario	rosae001	589	0.29	0.328	0.507	0.42847538200339563	0.4872665534804754	0.37181663837011886	0.018290491734724884	0.10047538200339562
2017	Jay Bruce	brucj001	617	0.254	0.324	0.508	0.45456401944894653	0.5153970826580226	0.39708265802269044	0.017853097555324424	0.13056401944894652
2017	Matt Joyce	joycm001	544	0.243	0.335	0.473	0.39950551470588236	0.4522058823529412	0.3547794117647059	0.01765391934186736	0.06450551470588234
2017	Didi Gregorius	gregd001	570	0.287	0.318	0.478	0.47781754385964914	0.5473684210526316	0.4192982456140351	0.01950770735017402	0.15981754385964914
2017	Edwin Encarnacion	encae001	669	0.258	0.377	0.504	0.4531106128550074	0.5082212257100149	0.40059790732436473	0.01660412634401728	0.07611061285500742
2017	Corey Dickerson	dickc002	629	0.282	0.325	0.49	0.5288839427662957	0.5882352941176471	0.4769475357710652	0.018237405494365942	0.20388394276629568
2017	Joe Mauer	mauej001	597	0.305	0.384	0.417	0.343356783919598	0.40033500837520936	0.2864321608040201	0.01639604689466617	-0.040643216080402
2017	Adam Duvall	duvaa001	647	0.249	0.301	0.48	0.4311700154559505	0.48377125193199383	0.37712519319938176	0.018202005251770674	0.13017001545595053
2017	Yadier Molina	moliy001	543	0.273	0.312	0.439	0.4078600368324125	0.4585635359116022	0.3259668508287293	0.018984173557040494	0.09586003683241251
2017	Evan Longoria	longe001	677	0.261	0.313	0.424	0.4546676514032496	0.5125553914327917	0.38995568685376664	0.017195392662372893	0.1416676514032496
2017	Jackie Bradley Jr.	bradj001	541	0.245	0.323	0.402	0.426720887245841	0.4879852125693161	0.3678373382624769	0.018602813209477792	0.103720887245841
2017	Eric Thames	thame001	551	0.247	0.359	0.518	0.5041778584392015	0.5662431941923775	0.44101633393829404	0.017778319341927994	0.1451778584392015
2017	Yonder Alonso	alony001	521	0.266	0.365	0.501	0.5016161228406909	0.5623800383877159	0.44145873320537427	0.019345716403811275	0.1366161228406909
2017	Ian Kinsler	kinsi001	613	0.236	0.313	0.412	0.40067536704730833	0.45187601957585644	0.3458401305057096	0.016411953883527435	0.08767536704730833
2017	Mike Moustakas	mousm001	598	0.272	0.314	0.521	0.47935953177257523	0.5284280936454849	0.41638795986622074	0.018191773970565088	0.16535953177257523
2017	Yasiel Puig	puigy001	570	0.263	0.346	0.487	0.4820280701754385	0.5403508771929825	0.42105263157894735	0.018822654337890567	0.13602807017543855
2017	Yuli Gurriel	gurry001	564	0.299	0.332	0.486	0.4361968085106383	0.5124113475177305	0.37056737588652483	0.01929410352433224	0.10419680851063828
2017	Max Kepler	keplm001	568	0.243	0.312	0.425	0.410625	0.477112676056338	0.3397887323943662	0.01820448872756851	0.09862500000000002
2017	Chase Headley	headc001	586	0.273	0.352	0.406	0.4208447098976109	0.4709897610921502	0.3651877133105802	0.016953173037400272	0.06884470989761093
2017	Yolmer Sanchez	sancc001	534	0.267	0.319	0.413	0.39140074906367045	0.44756554307116103	0.3389513108614232	0.01861641397122402	0.07240074906367044
2017	Orlando Arcia	arcio002	548	0.277	0.324	0.407	0.44706569343065694	0.5164233576642335	0.395985401459854	0.019115141077486745	0.12306569343065693
2017	Manuel Margot	margm001	529	0.263	0.313	0.409	0.358773156899811	0.4120982986767486	0.3005671077504726	0.01773508922480661	0.045773156899810985
2017	David Peralta	perad001	577	0.293	0.352	0.444	0.4532928942807626	0.5147313691507799	0.3934142114384749	0.01948734051526657	0.1012928942807626
2017	Joe Panik	panij002	573	0.288	0.347	0.421	0.3765549738219895	0.43106457242582896	0.30715532286212915	0.017546544150374967	0.029554973821989516
2017	Trevor Story	stort001	555	0.239	0.308	0.457	0.4194144144144144	0.4774774774774775	0.36036036036036034	0.017589284121542873	0.11141441441441441
2017	Freddy Galvis	galvf001	663	0.255	0.309	0.382	0.41374057315233786	0.46304675716440424	0.35294117647058826	0.01700719817843727	0.10474057315233787
2017	Scott Schebler	sches001	531	0.233	0.307	0.484	0.5030188323917137	0.568738229755179	0.4369114877589454	0.01915689044586529	0.19601883239171375
2017	David Freese	freed001	503	0.263	0.368	0.371	0.41860437375745524	0.47713717693836977	0.3658051689860835	0.018069946501618212	0.050604373757455245
2017	Jordy Mercer	mercj002	558	0.255	0.326	0.406	0.3820716845878136	0.4390681003584229	0.31899641577060933	0.017885375157450898	0.056071684587813586
2017	Jorge Polanco	polaj001	544	0.256	0.313	0.41	0.3611415441176471	0.4319852941176471	0.2959558823529412	0.01793043979291894	0.048141544117647095
2017	Brandon Crawford	crawb001	570	0.253	0.305	0.403	0.43262105263157896	0.48771929824561405	0.3701754385964912	0.01843387753789417	0.12762105263157897
2017	Billy Hamilton	hamib001	633	0.247	0.299	0.335	0.3941421800947867	0.4518167456556082	0.3459715639810427	0.01759365604095724	0.0951421800947867
2017	Manny Machado	machm001	690	0.259	0.31	0.471	0.4801811594202898	0.5333333333333333	0.43333333333333335	0.01714250073384758	0.17018115942028983
2017	Jose Reyes	reyej001	561	0.246	0.315	0.413	0.4103921568627451	0.47593582887700536	0.34402852049910876	0.018607787732714404	0.0953921568627451
2017	Trey Mancini	manct001	586	0.293	0.338	0.488	0.4603481228668942	0.5170648464163823	0.40102389078498296	0.018193717196339124	0.12234812286689417
2017	Nick Castellanos	castn001	665	0.272	0.32	0.49	0.44799548872180445	0.5007518796992482	0.4	0.017606010169010953	0.12799548872180444
2017	Andrew Benintendi	benia002	658	0.271	0.352	0.424	0.46682674772036475	0.5288753799392097	0.41793313069908816	0.017204867513455648	0.11482674772036477
2017	Curtis Granderson	granc001	527	0.212	0.323	0.452	0.39093168880455403	0.4497153700189753	0.33586337760910817	0.017890573875180362	0.06793168880455402
2017	Wil Myers	myerw001	649	0.243	0.328	0.464	0.46940986132511553	0.5208012326656395	0.4067796610169492	0.016817920624618538	0.14140986132511552
2017	Adam Jones	jonea003	635	0.285	0.322	0.466	0.5254866141732284	0.6078740157480315	0.4503937007874016	0.019333867238388692	0.2034866141732284
2017	Ben Gamel	gameb001	550	0.275	0.322	0.413	0.37362727272727275	0.44	0.31636363636363635	0.018081621725325733	0.051627272727272744
2017	Yangervis Solarte	solay001	512	0.255	0.314	0.416	0.429072265625	0.50390625	0.37109375	0.019697678273914776	0.115072265625
2017	Kole Calhoun	calhk001	654	0.244	0.333	0.392	0.4598149847094801	0.5076452599388379	0.3929663608562691	0.017237178920709702	0.1268149847094801
2017	Asdrubal Cabrera	cabra002	540	0.28	0.351	0.434	0.4408092592592593	0.5018518518518519	0.38333333333333336	0.01855681642099733	0.08980925925925931
2017	Kevin Pillar	pillk001	632	0.256	0.3	0.404	0.4339462025316456	0.49050632911392406	0.37816455696202533	0.017613495883558275	0.13394620253164563
2017	Alcides Escobar	escoa003	629	0.25	0.272	0.357	0.3880953895071542	0.4451510333863275	0.33068362480127184	0.01768648950022128	0.1160953895071542
2017	Mitch Moreland	morem001	576	0.246	0.326	0.443	0.4825347222222222	0.546875	0.4322916666666667	0.01831656542859398	0.1565347222222222
2017	Nick Markakis	markn001	670	0.275	0.354	0.384	0.40013283582089554	0.4462686567164179	0.33880597014925373	0.0162079521970522	0.04613283582089556
2017	Mark Reynolds	reynm001	593	0.267	0.352	0.487	0.4221129848229342	0.4772344013490725	0.35413153456998314	0.017712305533727633	0.07011298482293421
2017	Tim Anderson	andet001	606	0.257	0.276	0.402	0.40421287128712874	0.4735973597359736	0.33993399339933994	0.017904748174367862	0.12821287128712872
2017	Denard Span	spand001	542	0.272	0.329	0.427	0.36091512915129154	0.4151291512915129	0.29704797047970477	0.018199762505710135	0.03191512915129152
2017	Josh Bell	bellj005	620	0.255	0.334	0.466	0.46710967741935483	0.5306451612903226	0.4112903225806452	0.017072592330772844	0.1331096774193548
2017	Brandon Phillips	philb001	604	0.285	0.319	0.416	0.45275827814569536	0.5066225165562914	0.3956953642384106	0.019333552627529643	0.13375827814569535
2017	Hunter Pence	pench001	539	0.26	0.315	0.385	0.4709721706864564	0.5250463821892394	0.4155844155844156	0.019339657282580282	0.1559721706864564
2017	Shin-Soo Choo	choos001	636	0.261	0.357	0.423	0.38543081761006287	0.43553459119496857	0.3380503144654088	0.016507956977528656	0.028430817610062886
2017	Melky Cabrera	cabrm002	666	0.285	0.324	0.423	0.4353768768768769	0.4954954954954955	0.3813813813813814	0.017041896475102885	0.11137687687687686
2017	Nomar Mazara	mazan001	616	0.253	0.323	0.422	0.5070633116883116	0.5616883116883117	0.43344155844155846	0.01762209793122689	0.18406331168831164
2017	Jose Peraza	peraj003	518	0.259	0.297	0.324	0.3685984555984556	0.4266409266409266	0.31467181467181465	0.01805541777223005	0.07159845559845562
2017	Carlos Gonzalez	gonzc001	534	0.262	0.339	0.423	0.5164250936329589	0.5823970037453183	0.4606741573033708	0.019254750427270293	0.17742509363295883
2017	Ryon Healy	healr001	605	0.271	0.302	0.451	0.4397520661157025	0.4975206611570248	0.3851239669421488	0.018372036153834394	0.1377520661157025
2017	Chris Davis	davic003	524	0.215	0.309	0.423	0.45593129770992363	0.5095419847328244	0.3988549618320611	0.018229814846923955	0.14693129770992364
2017	Maikel Franco	franm004	623	0.23	0.281	0.409	0.45047191011235954	0.5184590690208668	0.39807383627608345	0.018331170258725032	0.16947191011235951
2017	Dansby Swanson	swand001	551	0.232	0.312	0.324	0.4218348457350272	0.4863883847549909	0.3666061705989111	0.017767044036136777	0.10983484573502722
2017	Alex Gordon	gorda001	541	0.208	0.293	0.315	0.39988724584103513	0.4584103512014787	0.34750462107208874	0.018412736402281082	0.10688724584103515
2017	Kendrys Morales	morak001	608	0.25	0.308	0.445	0.5138289473684211	0.5756578947368421	0.4605263157894737	0.018007984266183878	0.2058289473684211
2017	Hanley Ramirez	ramih003	553	0.242	0.32	0.429	0.4900849909584087	0.5443037974683544	0.4376130198915009	0.01946094351129962	0.17008499095840868
2017	Jose Bautista	bautj002	686	0.203	0.308	0.366	0.4617434402332361	0.5276967930029155	0.4096209912536443	0.016489478675671587	0.1537434402332361
2017	Rougned Odor	odorr001	651	0.204	0.252	0.397	0.4955560675883257	0.5453149001536098	0.4377880184331797	0.01806067480800661	0.2435560675883257
2017	Miguel Cabrera	cabrm001	529	0.249	0.329	0.399	0.4438695652173913	0.499054820415879	0.3837429111531191	0.019123119177669037	0.11486956521739128
2017	Tommy Joseph	joset001	533	0.24	0.289	0.432	0.4532457786116323	0.5140712945590994	0.38649155722326456	0.019234997815305358	0.1642457786116323
2017	Carlos Beltran	beltc001	509	0.231	0.283	0.383	0.42677996070726915	0.49901768172888017	0.36345776031434185	0.018943070734564443	0.14377996070726917
2017	Mark Trumbo	trumm001	603	0.234	0.289	0.397	0.46664842454394695	0.5223880597014925	0.4096185737976783	0.01809002396561055	0.17764842454394697
2017	Albert Pujols	pujoa001	636	0.241	0.286	0.386	0.43961949685534596	0.5031446540880503	0.3915094339622642	0.017306425109024075	0.15361949685534598
